Title,Author,Category
The Ten Books on Architecture,Vitruvius Pollio,Architecture
雲形紋章 (Japanese),John Meade Falkner,Architecture
The Seven Lamps of Architecture,John Ruskin,Architecture
"The Stones of Venice, Volume 1 (of 3)",John Ruskin,Architecture
Gothic Architecture,Édouard Corroyer,Architecture
Line and Form (1900),Walter Crane,Architecture
"The Stones of Venice, Volume 2 (of 3),",John Ruskin,Architecture
The Decoration of Houses,Edith Wharton and Ogden Codman,Architecture
Japanese Homes and Their Surroundings,Edward Sylvester Morse,Architecture
Ancient Town-Planning,F. Haverfield,Architecture
The House in Good Taste,Elsie De Wolfe,Architecture
Of the Just Shaping of Letters,Albrecht Dürer,Architecture
Architecture: Gothic and Renaissance,T. Roger Smith,Architecture
Plans and Illustrations of Prisons and Reformatories,Unregistered,Architecture
Of the Buildings of Justinian,Procopius,Architecture
Architecture :  nineteenth and twentieth centuries,Henry-Russell Hitchcock,Architecture
Colonial Homes in North Carolina,John V. Allcott,Architecture
"Rules and Examples of Perspective proper for Painters and Architects, etc.
 (Latin)",Andrea Pozzo,Architecture
"Historic Homes, Fort Dodge, Iowa",Karl F. Haugen,Architecture
"Natchez, Symbol of the Old South",Nola Nance Oliver,Architecture
A Manual of Historic Ornament,Richard Glazier,Architecture
Bell's Cathedrals: A Short Account of Romsey Abbey,Rev. Thomas Perkins,Architecture
Vitruvii De architectura libri decem (Latin),Vitruvius Pollio,Architecture
How France Built Her Cathedrals: A Study in the Twelfth and Thirteenth Centuries,Elizabeth Boyle O'Reilly,Architecture
"Rural architecture :  Being a complete description of farm houses, cottages, and out buildings",Lewis F. Allen,Architecture
The Ten Books on Architecture,Vitruvius Pollio,Art & Photography
The Tenniel Illustrations for Carroll's Alice in Wonderland,John Tenniel,Art & Photography
"The Doré Bible Gallery, Complete",Unregistered,Art & Photography
Language of Flowers,Kate Greenaway,Art & Photography
The Autobiography of Benvenuto Cellini,Benvenuto Cellini,Art & Photography
The Practice and Science of Drawing,Harold Speed,Art & Photography
What Is Art?,graf Leo Tolstoy,Art & Photography
The Oriental Rug,William De Lancey Ellwanger,Art & Photography
The Notebooks of Leonardo Da Vinci — Complete,da Vinci Leonardo,Art & Photography
The Renaissance: Studies in Art and Poetry,Walter Pater,Art & Photography
The Seven Lamps of Architecture,John Ruskin,Art & Photography
The Pencil of Nature,William Henry Fox Talbot,Art & Photography
"Lives of the Most Eminent Painters Sculptors and Architects, Vol. 01 (of 10)",Giorgio Vasari,Art & Photography
Monograms & Ciphers,A. A. Turbayne and Carlton Studio,Art & Photography
The Works of Lord Byron. Vol. 5,Baron George Gordon Byron Byron,Art & Photography
Industrial Arts Design,William H. Varnum,Art & Photography
The Dance of Death,Gilles Corrozet and Jean de Vauzelles,Art & Photography
A Treatise on Painting,da Vinci Leonardo,Art & Photography
Shakespeare and Precious Stones,George Frederick Kunz,Art & Photography
"The Stones of Venice, Volume 1 (of 3)",John Ruskin,Art & Photography
"The Elements of Drawing, in Three Letters to Beginners",John Ruskin,Art & Photography
"Modern Painters, Volume 1 (of 5)",John Ruskin,Art & Photography
"Women in the fine arts, from the Seventh Century B.C. to the Twentieth Century A.D.",Clara Erskine Clement Waters,Art & Photography
"Writing & Illuminating, & Lettering",Edward Johnston,Art & Photography
Gothic Architecture,Édouard Corroyer,Art & Photography
My Life — Volume 1,Richard Wagner,Biographies
The Souls of Black Folk,W. E. B. Du Bois,Biographies
"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,Biographies
The Confessions of St. Augustine,Bishop of Hippo Saint Augustine,Biographies
"Walden, and On The Duty Of Civil Disobedience",Henry David Thoreau,Biographies
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African",Olaudah Equiano,Biographies
"Incidents in the Life of a Slave Girl, Written by Herself",Harriet A. Jacobs,Biographies
Autobiography of Benjamin Franklin,Benjamin Franklin,Biographies
David Copperfield,Charles Dickens,Biographies
A Pickle for the Knowing Ones,Timothy Dexter,Biographies
De Profundis,Oscar Wilde,Biographies
Twelve Years a Slave,Solomon Northup,Biographies
Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,Mary White Rowlandson,Biographies
Life on the Mississippi,Mark Twain,Biographies
The Jewish State,Theodor Herzl,Biographies
"The Lives of the Twelve Caesars, Complete",Suetonius,Biographies
Up from Slavery: An Autobiography,Booker T. Washington,Biographies
Tribute to Michael Hart (Arabic),Majid AlHydar,Biographies
"Personal Memoirs of U. S. Grant, Complete",Ulysses S. Grant,Biographies
My Bondage and My Freedom,Frederick Douglass,Biographies
The Confessions of Jean Jacques Rousseau — Complete,Jean-Jacques Rousseau,Biographies
"The Memoirs of Jacques Casanova de Seingalt, 1725-1798. Complete",Giacomo Casanova,Biographies
Darkwater: Voices from Within the Veil,W. E. B. Du Bois,Biographies
Ecce Homo,Friedrich Wilhelm Nietzsche,Biographies
The Autobiography of Benvenuto Cellini,Benvenuto Cellini,Biographies
"The art of money getting :  or, golden rules for making money",P. T. Barnum,Business/Management
The Science of Getting Rich,W. D. Wattles,Business/Management
United States Steel: A Corporation with a Soul,Arundel Cotter,Business/Management
One Thousand Ways to Make Money,Page Fox,Business/Management
The History of the Standard Oil Company,Ida M. Tarbell,Business/Management
Pushing to the Front,Orison Swett Marden,Business/Management
Reminiscences of a Stock Operator,Edwin Lefevre,Business/Management
Acres of Diamonds: Our Every-day Opportunities,Russell H. Conwell,Business/Management
My Life and Work,Henry Ford and Samuel Crowther,Business/Management
Crystallizing Public Opinion,Edward L. Bernays,Business/Management
The American Frugal Housewife,Lydia Maria Child,Business/Management
The Principles of Scientific Management,Frederick Winslow Taylor,Business/Management
"Franklin's Way to Wealth; or, ""Poor Richard Improved""",Benjamin Franklin,Business/Management
The Psychology of Management,Lillian Moller Gilbreth,Business/Management
Random Reminiscences of Men and Events,John D. Rockefeller,Business/Management
"How to Succeed; Or, Stepping-Stones to Fame and Fortune",Orison Swett Marden,Business/Management
Financial Crime and Corruption,Samuel Vaknin,Business/Management
The Go-Getter: A Story That Tells You How to be One,Peter B. Kyne,Business/Management
Report of Governor's Representatives for California at Alaska-Yukon-Pacific Exposition Commission,"J. A. Filcher, Frank Wiggins, and California. Alaska-Yukon-Pacific exposition commission",Business/Management
The Fabric of Civilization,Guaranty Trust Company of New York,Business/Management
"Principles of Mining: Valuation, Organization and Administration",Herbert Hoover,Business/Management
The Business of Being a Housewife,Leona A. Malek,Business/Management
Our Italy,Charles Dudley Warner,Business/Management
"30,000 locked out :  the great strike of the building trades in Chicago",James C. Beeks,Business/Management
The Age of Big Business: A Chronicle of the Captains of Industry,Burton Jesse Hendrick,Business/Management
Alice's Adventures in Wonderland,Lewis Carroll,Children & Young Adult Reading
A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,Children & Young Adult Reading
The Legend of Sleepy Hollow,Washington Irving,Children & Young Adult Reading
"The Adventures of Tom Sawyer, Complete",Mark Twain,Children & Young Adult Reading
Anne of Green Gables,L. M. Montgomery,Children & Young Adult Reading
Little Women,Louisa May Alcott,Children & Young Adult Reading
The Wonderful Wizard of Oz,L. Frank Baum,Children & Young Adult Reading
Winnie-the-Pooh,A. A. Milne,Children & Young Adult Reading
A Christmas Carol,Charles Dickens,Children & Young Adult Reading
Peter Pan,J. M. Barrie,Children & Young Adult Reading
Treasure Island,Robert Louis Stevenson,Children & Young Adult Reading
Through the Looking-Glass,Lewis Carroll,Children & Young Adult Reading
Æsop's Fables: A Version for Young Readers,Aesop and J. H. Stickney,Children & Young Adult Reading
Struwwelpeter: Merry Stories and Funny Pictures,Heinrich Hoffmann,Children & Young Adult Reading
The Secret Garden,Frances Hodgson Burnett,Children & Young Adult Reading
The Jungle Book,Rudyard Kipling,Children & Young Adult Reading
Baron Trump's Marvellous Underground Journey,Ingersoll Lockwood,Children & Young Adult Reading
A Christmas Carol,Charles Dickens,Children & Young Adult Reading
Just so stories,Rudyard Kipling,Children & Young Adult Reading
"The Happy Prince, and Other Tales",Oscar Wilde,Children & Young Adult Reading
The Tale of Peter Rabbit,Beatrix Potter,Children & Young Adult Reading
Der Struwwelpeter (German),Heinrich Hoffmann,Children & Young Adult Reading
Alice's Adventures in Wonderland,Lewis Carroll,Children & Young Adult Reading
The Tenniel Illustrations for Carroll's Alice in Wonderland,John Tenniel,Children & Young Adult Reading
A Little Princess,Frances Hodgson Burnett,Children & Young Adult Reading
The Online World,Odd De Presno,Computers & Technology
"Scientific American Supplement, No. 433, April 19, 1884",Various,Computers & Technology
"Project Gutenberg ""10K"" DVD",Unregistered,Computers & Technology
How it Works,Archibald Williams,Computers & Technology
"Scientific  American, Volume XXXVI., No. 8, February 24, 1877",Various,Computers & Technology
"Scientific  American, Volume XXIV., No. 12,  March 18, 1871",Various,Computers & Technology
"The Jargon File, Version 4.2.2, 20 Aug 2000",Unregistered,Computers & Technology
The Boy Electrician,Alfred Powell Morgan,Computers & Technology
Forty-Five Years of Digitizing Ebooks: Project Gutenberg's Practices,Gregory B. Newby,Computers & Technology
The Pencil of Nature,William Henry Fox Talbot,Computers & Technology
Soap-Making Manual,Edgar George Thomssen,Computers & Technology
Creative Chemistry: Descriptive of Recent Achievements in the Chemical Industries,Edwin E. Slosson,Computers & Technology
"Scientific American, Volume 40, No. 13, March 29, 1879",Various,Computers & Technology
"Transactions of the American Society of Civil Engineers, vol. LXVIII, Sept. 1910",Benjamin Franklin Cresson,Computers & Technology
"The Boy Mechanic, Book 2: 1000 Things for Boys to Do",Unregistered,Computers & Technology
Technology and Books for All,Marie Lebert,Computers & Technology
An Introduction to Machine Drawing and Design,David Allan Low,Computers & Technology
The Manufacture of Paper,R. W. Sindall,Computers & Technology
"Scientific American, Vol. XXXVII.—No. 2. [New Series.], July 14, 1877",Various,Computers & Technology
How to Succeed as an Inventor,Goodwin Brooke Smith,Computers & Technology
Water Supply: the Present Practice of Sinking and Boring Wells,Ernest Spon,Computers & Technology
A Practical Treatise on Gas-light,Friedrich Christian Accum,Computers & Technology
"The Boy Mechanic, Volume 1: 700 Things for Boys to Do",Unregistered,Computers & Technology
Nitro-Explosives: A Practical Treatise,P. Gerald Sanford,Computers & Technology
Practical Mechanics for Boys,James Slough Zerbe,Computers & Technology
Cookery and Dining in Imperial Rome,Apicius,Cooking & Drinking
Zimmerblattpflanzen (German),Udo Dammer,Cooking & Drinking
Encyclopedia of Needlework,Thérèse de Dillmont,Cooking & Drinking
All About Coffee,William H. Ukers,Cooking & Drinking
The Book of Household Management,Mrs. Beeton,Cooking & Drinking
"The Art of Perfumery, and Methods of Obtaining the Odors of Plants",G. W. Septimus Piesse,Cooking & Drinking
Food Guide for War Service at Home,"Katharine Blunt, Frances Lucy Swain, Florence Powdermaker, and United States Food Administration",Cooking & Drinking
A Treatise on Domestic Economy; For the Use of Young Ladies at Home and at School,Catharine Esther Beecher,Cooking & Drinking
The Mechanical Properties of Wood,Samuel J. Record,Cooking & Drinking
"The Forme of Cury: A Roll of Ancient English Cookery Compiled, about A.D. 1390 (Middle English)",Samuel Pegge,Cooking & Drinking
Pennsylvania Dutch Cooking,Unknown,Cooking & Drinking
Needlework Economies: A Book of Mending and Making with Oddments and Scraps,Unregistered,Cooking & Drinking
The American Frugal Housewife,Lydia Maria Child,Cooking & Drinking
American Cookery,Various,Cooking & Drinking
The Whitehouse Cookbook (1887),F. L. Gillette and Hugo Ziemann,Cooking & Drinking
"A Treatise on Adulterations of Food, and Culinary Poisons",Friedrich Christian Accum,Cooking & Drinking
Foods that will win the war and how to cook them (1918),C. Houston Goudiss and Alberta M. Goudiss,Cooking & Drinking
Physiologie du goût (French),Brillat-Savarin,Cooking & Drinking
